,revision_id,article_quality,article_name,country,Data
0,235107991,Stub,Template:ZambiaProvincialMinisters,Zambia,"15,473,900"
1,757566606,Stub,Gladys Lundwe,Zambia,"15,473,900"
2,764848643,Stub,Mwamba Luchembe,Zambia,"15,473,900"
3,768166426,Start,Thandiwe Banda,Zambia,"15,473,900"
4,776082926,C,Sylvester Chisembele,Zambia,"15,473,900"
5,776530837,Start,Victoria Kalima,Zambia,"15,473,900"
6,779747587,Start,Margaret Mwanakatwe,Zambia,"15,473,900"
7,779747961,C,Nkandu Luo,Zambia,"15,473,900"
8,779748181,Start,Susan Nakazwe,Zambia,"15,473,900"
9,779748285,Start,Catherine Namugala,Zambia,"15,473,900"
10,779748522,Start,Edith Nawakwi,Zambia,"15,473,900"
11,779748628,Start,Joyce Nonde-Simukoko,Zambia,"15,473,900"
12,779748837,C,Gladys Nyirongo,Zambia,"15,473,900"
13,779748931,C,Vera Tembo,Zambia,"15,473,900"
14,790011468,Stub,Ompie Nkumbula-Lieventhal,Zambia,"15,473,900"
15,791225634,Stub,Besnat Jere,Zambia,"15,473,900"
16,792296625,C,Esther Lungu,Zambia,"15,473,900"
17,794006130,Start,Inonge Wina,Zambia,"15,473,900"
18,795820299,Start,Maureen Mwanawasa,Zambia,"15,473,900"
19,796467991,Start,First Lady of Zambia,Zambia,"15,473,900"
20,797469872,Start,Jean Kapata,Zambia,"15,473,900"
21,799512628,Start,Peter Sinkamba,Zambia,"15,473,900"
22,803304465,Start,Gwendoline Konie,Zambia,"15,473,900"
23,805875783,B,Kenneth Kaunda,Zambia,"15,473,900"
24,805993958,Start,Inonge Mbikusita-Lewanika,Zambia,"15,473,900"
25,806345311,C,Yobert K. Shamapande,Zambia,"15,473,900"
26,355319463,Stub,Bir I of Kanem,Chad,"13,707,000"
27,498683267,Stub,Abdullah II of Kanem,Chad,"13,707,000"
28,565745353,Stub,Salmama II of Kanem,Chad,"13,707,000"
29,565745365,Stub,Kuri I of Kanem,Chad,"13,707,000"
30,565745375,Stub,Mohammed I of Kanem,Chad,"13,707,000"
31,669719757,Stub,Kuri II of Kanem,Chad,"13,707,000"
32,670893206,Stub,Bir II of Kanem,Chad,"13,707,000"
33,693055898,Stub,Mahamat Hissene,Chad,"13,707,000"
34,705432607,Stub,Othman I,Chad,"13,707,000"
35,707593108,Stub,Alphonse Kotiga,Chad,"13,707,000"
36,708346649,Start,Oueddei Kichidemi,Chad,"13,707,000"
37,710675092,Stub,Dunama I,Chad,"13,707,000"
38,711388267,Stub,Ahmad (Kanem-Bornu king),Chad,"13,707,000"
39,712971263,Stub,Djibrine Kerallah,Chad,"13,707,000"
40,712971315,Stub,Maurice Ngangtar,Chad,"13,707,000"
41,712971738,Stub,Idriss Miskine,Chad,"13,707,000"
42,716886170,Stub,Laoukein Kourayo Médard,Chad,"13,707,000"
43,716886788,Stub,Nadji Madou,Chad,"13,707,000"
44,716891799,Start,Noël Milarew Odingar,Chad,"13,707,000"
45,717733209,Stub,Yaya Dillo Djérou,Chad,"13,707,000"
46,719821590,Start,Acheikh Ibn-Oumar,Chad,"13,707,000"
47,720066754,Stub,Quatre Sou Quatre,Chad,"13,707,000"
48,722563340,Stub,Ali Gazi,Chad,"13,707,000"
49,725132042,Stub,Mahamat Djarma Khatir,Chad,"13,707,000"
50,731749611,Stub,Dunama IX Lefiami,Chad,"13,707,000"
51,736550266,Stub,Dawud of Kanem,Chad,"13,707,000"
52,738855197,Start,Ahmed Koulamallah,Chad,"13,707,000"
53,741369486,C,Abbo Nassour,Chad,"13,707,000"
54,742213176,Stub,Abdel Kader Baba-Laddé,Chad,"13,707,000"
55,747271475,Stub,Hummay,Chad,"13,707,000"
56,751304544,C,Ngarlejy Yorongar,Chad,"13,707,000"
57,751380073,Stub,Saleh Kezabo,Chad,"13,707,000"
58,757072468,Start,Bourkou Louise Kabo,Chad,"13,707,000"
59,757802238,Stub,Brahim Koulamallah,Chad,"13,707,000"
60,757842614,Start,Saadie Goukouni Weddeye,Chad,"13,707,000"
61,762579466,Start,Mahamoud Adam Béchir,Chad,"13,707,000"
62,762816132,Stub,Kalthouma Nguembang,Chad,"13,707,000"
63,764133533,Stub,Djidingar Dono Ngardoum,Chad,"13,707,000"
64,768123377,Stub,Template:ChadPMs,Chad,"13,707,000"
65,770535091,Stub,Template:ChadPres,Chad,"13,707,000"
66,771052289,C,Youssouf Saleh Abbas,Chad,"13,707,000"
67,774223245,Start,Koibla Djimasta,Chad,"13,707,000"
68,774223248,C,Nassour Guelendouksia Ouaido,Chad,"13,707,000"
69,777478442,Stub,Joseph Brahim Seid,Chad,"13,707,000"
70,777550078,Start,Joseph Yodoyman,Chad,"13,707,000"
71,782638002,Start,Antoine Bangui,Chad,"13,707,000"
72,785614014,Stub,Ibrahim IV of Bornu,Chad,"13,707,000"
73,786449636,C,Hadjé Halimé,Chad,"13,707,000"
74,787390241,Start,Youssouf Togoïmi,Chad,"13,707,000"
75,787719236,Start,Adoum Younousmi,Chad,"13,707,000"
76,787738541,C,François Tombalbaye,Chad,"13,707,000"
77,787910771,Stub,Ahmat Hassaballah Soubiane,Chad,"13,707,000"
78,787921293,Start,Ahmad Allam-Mi,Chad,"13,707,000"
79,788009613,Stub,Laotegguelnodji Koumtog,Chad,"13,707,000"
80,788014671,Start,Mahamat Ali Adoum,Chad,"13,707,000"
81,788658822,C,Mahamat Saleh Annadif,Chad,"13,707,000"
82,788827248,Stub,Mohamed Bechir-Sow,Chad,"13,707,000"
83,788828388,Start,Gontchomé Sahoulba,Chad,"13,707,000"
84,788828519,Start,Gabriel Lisette,Chad,"13,707,000"
85,788999424,Stub,Ali II of Bornu,Chad,"13,707,000"
86,789126126,Stub,Arabi El Goni,Chad,"13,707,000"
87,789935196,Start,Dunama Dabbalemi,Chad,"13,707,000"
88,792734868,Start,Idris Alooma,Chad,"13,707,000"
89,792954115,FA,Mahamat Nouri,Chad,"13,707,000"
90,796654025,Start,Idriss Ndele Moussa,Chad,"13,707,000"
91,796690873,Stub,Mbaydoum Simeon,Chad,"13,707,000"
92,796700718,Stub,Ngarindo Milengar,Chad,"13,707,000"
93,797747674,Start,List of Prime Ministers of Chad,Chad,"13,707,000"
94,798286150,B,Idriss Déby,Chad,"13,707,000"
95,798626040,C,Saleh Kebzabo,Chad,"13,707,000"
96,799043301,C,Moussa Faki,Chad,"13,707,000"
97,799373925,Stub,Template:Chad-politician-stub,Chad,"13,707,000"
98,799413193,Stub,Kalzeubet Pahimi Deubet,Chad,"13,707,000"
99,799447895,Start,Haroun Kabadi,Chad,"13,707,000"
100,799447995,Start,Nagoum Yamassoum,Chad,"13,707,000"
101,799448338,Stub,Outel Bono,Chad,"13,707,000"
102,799902492,B,Ahmat Acyl,Chad,"13,707,000"
103,800133552,Start,Djimrangar Dadnadji,Chad,"13,707,000"
104,801029539,C,Delwa Kassiré Koumakoye,Chad,"13,707,000"
105,801192255,C,Fidèle Moungar,Chad,"13,707,000"
106,801192303,B,Jean Alingué Bawoyeu,Chad,"13,707,000"
107,801573576,C,Emmanuel Nadingar,Chad,"13,707,000"
108,801583221,Stub,Roger Djikisna,Chad,"13,707,000"
109,801583260,Stub,Firmin Djidingar,Chad,"13,707,000"
110,802874918,Stub,Idris I of Kanem,Chad,"13,707,000"
111,803166509,Stub,Vice President of Chad,Chad,"13,707,000"
112,803166806,GA,Hissène Habré,Chad,"13,707,000"
113,803166989,Start,Negue Djogo,Chad,"13,707,000"
114,803167152,C,Wadel Abdelkader Kamougué,Chad,"13,707,000"
115,803167336,Start,Félix Malloum,Chad,"13,707,000"
116,803167424,C,Lol Mahamat Choua,Chad,"13,707,000"
117,803167990,C,Goukouni Oueddei,Chad,"13,707,000"
118,803433107,C,Albert Pahimi Padacké,Chad,"13,707,000"
119,803812011,Start,List of heads of state of Chad,Chad,"13,707,000"
120,804773540,Start,Elise Loum,Chad,"13,707,000"
121,805493169,Start,Agnes Allafi,Chad,"13,707,000"
122,806337653,Stub,Christine Georges Diguibaye,Chad,"13,707,000"
